Grambank ID	Abbreviation	Question	Proto-language	Finding from Historical Linguistics	Historical Linguistics sources	Parsimony result (Glottolog-tree)	ML result (Glottolog-tree)	Parsimony result (Gray et al 2009-tree)	ML result (Gray et al 2009-tree)
GB133	TransVFinalOrder	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	Proto-Central Pacific	Absent	\citet[122]{kikusawa2002proto}	True Negative	True Negative	True Negative	True Negative
GB133	TransVFinalOrder	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	Proto-Polynesian	Absent	\cite[15]{chung1978}, \citet[118]{pawley1973some}	True Negative	True Negative	True Negative	True Negative
GB133	TransVFinalOrder	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	Proto-Polynesian	Absent	\citet[122]{kikusawa2002proto}	True Negative	True Negative	True Negative	True Negative
GB139	NEGProhibitive	Is there a difference between imperative (prohibitive) and declarative negation constructions?	Proto-Polynesian	Present	\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[xiii, 125]{clark1976aspects}, \citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB155	CAUSBound	Are causatives formed by affixes or clitics on verbs?	Proto-Central Pacific	Present	\citet[352]{pawley1970change}	True Positive	True Positive	True Positive	True Positive
GB155	CAUSBound	Are causatives formed by affixes or clitics on verbs?	Proto-Oceanic	Present	\citet[74, 83]{lynchrosscrowley_proto_grammar_oceanic}, \citet[130]{pawley1973some}, \citet[344]{evans2003study}	True Positive	True Positive	True Positive	True Positive
GB158	RedupV	Are verbs reduplicated?	Proto-Oceanic	Present	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}	True Positive	True Positive	True Positive	True Positive
GB170	ADJGender	Can an adnominal property word agree with the noun in gender/noun class?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB171	DEMGender	Can an adnominal demonstrative agree with the noun in gender/noun class?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB172	ARTGender	Can an article agree with the noun in gender/noun class?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB192	GenderPhono	Is there a gender system where a noun's phonological properties are a factor in class assignment?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB193a	ANMOrder_ANM-N	NA	Proto-Polynesian	Absent	\citet[xiv]{clark1976aspects}	True Negative	True Negative	True Negative	True Negative
GB193a	ANMOrder_ANM-N	NA	Proto-Oceanic	Absent	\citet[497]{ross2004morphosyntactic}, \citet[74]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB193b	ANMOrder_N-ANM	NA	Proto-Polynesian	Present	\citet[495]{ross2004morphosyntactic}	True Positive	True Positive	True Positive	True Positive
GB193b	ANMOrder_N-ANM	NA	Proto-Oceanic	Present	\citet[497]{ross2004morphosyntactic}, \citet[74]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB198	NUMGender	Can an adnominal numeral agree with the noun in gender/noun class?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB262	QPartInitial	Is there a clause-initial polar interrogative particle?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB264	QPartMedial	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB285	QPartVMorph	Can polar interrogation be marked by a question particle and verbal morphology?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB286	QVMorph	Can polar interrogation be indicated by overt verbal morphology only?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB291	QTone	Can polar interrogation be marked by tone?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB297	QVNotV	Can polar interrogation be indicated by a V-not-V construction?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB299	NEGPart	"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Polynesian	Present	\citet[130]{clark1976aspects}	True Positive	True Positive	True Positive	True Positive
GB299	NEGPart	"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Oceanic	Present	\citet[88]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB327	RELPost	Can the relative clause follow the noun?	Proto-Polynesian	Present	\citet[74]{clark1976aspects}	True Positive	True Positive	True Positive	True Positive
GB328	RELPre	Can the relative clause precede the noun?	Proto-Polynesian	Absent	\citet[74]{clark1976aspects}	True Negative	True Negative	True Negative	True Negative
GB333	NUMDecimal	Is there a decimal numeral system?	Proto-Oceanic	Present	\citet[72]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB430	POSSPfxPosr	Can adnominal possession be marked by a prefix on the possessor?	Proto-Oceanic	Absent	\citet[511]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB431	POSSPfxPosd	Can adnominal possession be marked by a prefix on the possessed noun?	Proto-Oceanic	Absent	\citet[117]{pawley1973some}, \citet[494, 497]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB432	POSSSfxPosr	Can adnominal possession be marked by a suffix on the possessor?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB433	POSSSfxPosd	Can adnominal possession be marked by a suffix on the possessed noun?	Proto-Oceanic	Present	\citet[495]{ross2004morphosyntactic}, \citet[155]{pawley1973some}	True Positive	True Positive	True Positive	True Positive
GB519	MoodAuxPart	"Can mood be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Polynesian	Present	\citet[20]{chung1978}	True Positive	True Positive	True Positive	True Positive
GB520	AspectAuxPart	"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Central Pacific	Present	\citet[347]{pawley1970change}	True Positive	True Positive	True Positive	True Positive
GB520	AspectAuxPart	"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Polynesian	Present	\citet[20]{chung1978}	True Positive	True Positive	True Positive	True Positive
GB522	PRODrop	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"	Proto-Polynesian	Present	\citet[30]{chung1978}	True Positive	True Positive	True Positive	True Positive
GB020	ARTDef	Are there definite or specific articles?	Proto-Polynesian	Present	\citet[23]{chung1978}, \citet[53]{clark1976aspects}	True Positive	Half	True Positive	True Positive
GB021	ARTIndef	Do indefinite nominals commonly have indefinite articles?	Proto-Polynesian	Present	\citet[23]{chung1978}, \citet[53]{clark1976aspects}, \citet[73]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	False Negative	True Positive	True Positive
GB031	PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	Proto-Oceanic	Present	\citet[498]{ross2004morphosyntactic}, \citet[109]{kikusawa2001rotuman}, \citet[69]{lynchrosscrowley_proto_grammar_oceanic}, \citet[173]{pawley1973some}	True Positive	True Positive	Half	True Positive
GB035	DEMDistContrast	Are there three or more distance contrasts in demonstratives?	Proto-Oceanic	Present	\citet[72]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	False Negative
GB090	S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	Proto-Oceanic	Present	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	Half	True Positive	True Positive
GB093	P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	Proto-Oceanic	Present	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}	True Positive	Half	True Positive	True Positive
GB115	RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?	Proto-Polynesian	Present	\citet[4]{marck2000 encyclo}	True Positive	Half	True Positive	True Positive
GB115	RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?	Proto-Central Pacific	Present	\citet[352]{pawley1970change}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	Half	True Positive	True Positive
GB132	TransVMedOrder	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	Proto-Oceanic	Present	\citet[497]{ross2004morphosyntactic}, \citet[117]{pawley1973some}	True Positive	True Positive	Half	True Positive
GB260	QWordOrder	Can polar interrogation be indicated by a special word order?	Proto-Oceanic	Absent	\citet[89]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	NA
GB522	PRODrop	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"	Proto-Oceanic	Present	\citet[495]{ross2004morphosyntactic}	Half	True Positive	True Positive	True Positive
GB022	ARTPre	Are there prenominal articles?	Proto-Oceanic	Present	\citet{crowley1985common}, \citet[70]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{pawley1973some}	True Positive	True Positive	Half	False Negative
GB049	NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?	Proto-Oceanic	Present	\citet[70]{lynchrosscrowley_proto_grammar_oceanic}	Half	True Positive	True Positive	Half
GB065a	POSSOrder_PSR-PSD	NA	Proto-Oceanic	Present	\citet[76]{lynchrosscrowley_proto_grammar_oceanic}, \citet[155-156]{pawley1973some}	True Positive	Half	True Positive	Half
GB092	A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	Proto-Oceanic	Present	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Half	Half	True Positive	True Positive
GB131	TransVInitOrder	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	Proto-Polynesian	Present	\citet[4]{marck2000 encyclo}, \citet[15]{chung1978}, \citet[118]{pawley1973some}	Half	True Positive	False Negative	True Positive
GB131	TransVInitOrder	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	Proto-Polynesian	Present	\citet[122]{kikusawa2002proto}	Half	True Positive	False Negative	True Positive
GB132	TransVMedOrder	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	Proto-Polynesian	Absent	\cite[15]{chung1978}, \citet[118]{pawley1973some}	True Negative	False Positive	False Positive	True Negative
GB132	TransVMedOrder	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	Proto-Polynesian	Absent	\citet[122]{kikusawa2002proto}	True Negative	False Positive	False Positive	True Negative
GB159	RedupNoun	Are nouns reduplicated?	Proto-Oceanic	Present	\citet[70]{lynchrosscrowley_proto_grammar_oceanic}	Half	True Positive	True Positive	Half
GB318	PluralFree	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	Proto-Polynesian	Present	\citet[59]{clark1976aspects}	True Positive	Half	True Positive	Half
GB521	TenseAuxPart	"Can tense be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Central Pacific	Present	\citet[347]{pawley1970change}	True Positive	Half	True Positive	Half
GB521	TenseAuxPart	"Can tense be marked by a non-inflecting word (""auxiliary particle"")?"	Proto-Oceanic	Absent	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	Half	True Negative	Half
GB105	CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	Proto-Oceanic	Absent	\citet[118]{pawley1973some}	True Negative	Half	Half	Half
GB130a	IntransOrder_SV	NA	Proto-Central Pacific	Absent	\citet[122]{kikusawa2002proto}	Half	True Negative	Half	Half
GB130b	IntransOrder_VS	NA	Proto-Central Pacific	Present	\citet[122]{kikusawa2002proto}	False Negative	Half	Half	True Positive
GB131	TransVInitOrder	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	Proto-Central Pacific	Present	\citet[122]{kikusawa2002proto}	False Negative	True Positive	False Negative	False Negative
GB132	TransVMedOrder	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	Proto-Central Pacific	Absent	\citet[122]{kikusawa2002proto}	True Negative	False Positive	False Positive	False Positive
GB140	SameNEGLocExistNom	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	Proto-Eastern Polynesian	Absent	\citet[130]{clark1976aspects}	True Negative	Half	False Positive	Half
GB312	MoodBoundV	Is there overt morphological marking on the verb dedicated to mood?	Proto-Oceanic	Present	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	Half	False Negative	True Positive	Half
GB086	AspectBoundV	Is a morphological distinction between perfective and imperfective aspect available on verbs?	Proto-Oceanic	Present	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	False Negative	False Negative	False Negative	False Negative
GB115	RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?	Proto-Oceanic	Present	\citet[172]{pawley1973some}, \citet[495, 513]{ross2004morphosyntactic}	Half	Half	Half	Half
GB131	TransVInitOrder	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	Proto-Oceanic	Present	\citet[118]{pawley1973some}, \citet[86]{lynchrosscrowley_proto_grammar_oceanic}	False Negative	False Negative	False Negative	False Negative
GB133	TransVFinalOrder	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	Proto-Oceanic	Present	\citet[118]{pawley1973some}	False Negative	False Negative	False Negative	False Negative
GB140	SameNEGLocExistNom	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	Proto-Oceanic	Absent	\citet[143-6]{pawley1973some}, \citet[88]{lynchrosscrowley_proto_grammar_oceanic}	False Positive	Half	False Positive	Half
