Language_ID	aes	category	classification	level	med	medovertime	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
anuk1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848	language	wordlist_or_less	['W. M. Strong. 1911. Notes on the languages of the north-eastern and adjoining divisions. Annual Report for the year ending 30th June 1911. 203-217.']	anuk1239:1;	Anuki	Papunesia	-9.6692	149.822	anuk1239	aui	PG	aust1307	anuk1239
anus1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242/anus1238	language	wordlist_or_less	['Hope Lee and Agustina Sawi. 2005. Survey report on the Sobei related languages in Sarmi country, Northeastern Papua, Indonesia. To appear in the SIL Electronic Survey Reports. 43pp.', 'Smits, Leo and Voorhoeve, C. L. 1992. The J.~C.~Anceaux collection of wordlists of Irian Jaya languages A: Austronesian languages (Part II). (Irian Jaya Source Material No.~5 Series B, 2.) Leiden-Jakarta: DSALCUL/IRIS. vi+288pp.', 'Galis, Klaas Wilhelm. 1955. Talen en dialecten van Nederlands Nieuw-Guinea. Tijdschrift Nieuw-Guinea 16. 109-118, 134-145, 161-178.', """"Cowan, H. K. J. 1953. Voorlopige Resultaten van een Ambtelijk Taalonderzoek in Nieuw-Guinea. 's-Gravenhage: 'S-Gravenhage: Martinus Nijhoff. 48pp.""""]	anus1237:1;	Anus	Papunesia	-2.2627100000000002	139.502	anus1237	auq	ID	aust1307	anus1237
anut1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485	language	grammar_sketch	['Richard Feinberg. 1977. The Anutan Language Reconsidered: Lexicon and Grammar of a Polynesian Outlier. (HRAFlex Books: Language and Literature Series: OT1-001.) New Haven, Connecticut: Human Relations Area Files. 138+140pp. (2 vols.)', 'von der Gabelentz, Hans Conor. 1879. Die Melanesischen Sprachen: Vol 2. (Abhandlungen der Königlichen Sächsischen Gesellschaft der Wissenschaften, 7:1.) Leipzig: S.~Hirzel. 1-186pp.']	anut1237:1;	Anuta	Papunesia	-11.61	169.85	anut1237	aud	SB	aust1307	anut1237
aore1237	extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339	language	wordlist_or_less	['Darrell T. Tryon. 1976. New Hebrides Languages: An Internal Classification. (Pacific Linguistics: Series C, 50.) Canberra: Research School of Pacific and Asian Studies, Australian National University. v+545pp.']	aore1237:1;	Aore	Papunesia	-15.5753	167.166	aore1237	aor	VU	aust1307	aore1237
apal1255	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/west2530	language	wordlist_or_less	['MacKenzie, Bonnie and Spencer, Juliann and Van Cott, Sara. 2011. A Sociolinguistic Survey of Ambul. (SIL Electronic Survey Reports 2011-050.) Dallas, Texas: SIL International. 90pp.', 'Malcolm Ross. 1988. Proto-Oceanic and the Austronesian languages of western Melanesia. (Pacific Linguistics: Series C, 98.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+487pp. (Publication of PhD, ANU 1987.)']	apal1255:1;	Apalik	Papunesia	-6.29002	149.96	apal1255	apo	PG	aust1307	apal1255
apma1240	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/sout3188	language	long_grammar	['Cynthia Schneider. 2006. A grammar of Abma, a language of Pentecost Island, Vanuatu. (Doctoral dissertation, University of New England; 366pp.)', 'Loubiere, E. 1911. Quelque notes de grammaire: langue de Melsisi Ile Pentecôte --- Nelles Hébrides. Ms., Original held by the Rev Father E. Loubiere, Vila, New Hebrides. 112pp.']	(suru1260:1,suru1259:1)apma1240:1;	Apma	Papunesia	-15.8559	168.189	apma1240	app	VU	aust1307	apma1240
arak1252	nearly_extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/arak1257	language	long_grammar	['Alexandre François. 2002. Araki: A disappearing language of Vanuatu. (Pacific Linguistics, 522.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xviii+353pp.', 'Darrell T. Tryon. 1976. New Hebrides Languages: An Internal Classification. (Pacific Linguistics: Series C, 50.) Canberra: Research School of Pacific and Asian Studies, Australian National University. v+545pp.']	arak1252:1;	Araki	Papunesia	-15.632997	166.952542	arak1252	akr	VU	aust1307	arak1252
area1240	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198	language	grammar	[""""Naitoro, Katerina. 2013. A sketch grammar of 'Are'are: The sound system and morpho-syntax. (MA thesis, University of Canterbury; 274pp.)"""", 'W. G. Ivens. 1929. A Study of the Language of Marau Sound, Guadalcanal, Solomon Islands. Bulletin of the School of Oriental and African Studies V. 345-358.']	(mara1398:1,nucl1476:1)area1240:1;	'Are'are	Papunesia	-9.20699	161.158	area1240	alu	SB	aust1307	area1240
aree1239	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/ared1234	language	grammar_sketch	['Paisawa, Elsie and Pagotto, Louise and Kale, Joan. 1976. A Short sketch of Are (or Mukawa), Milne Bay, Papua New Guinea. (Occasional Papers / Department of Linguistics, 2.) Port Moresby: University of Papua New Guinea. iii+69pp.', 'Giblin, Eric. 1923. A grammar and dictionary of the Mukawa language, with Gapapaiwa equivalents. Ms. xvii+73pp.', 'W. M. Strong. 1911. Notes on the languages of the north-eastern and adjoining divisions. Annual Report for the year ending 30th June 1911. 203-217.', 'Sidney H. Ray. 1907. The Melanesian Languages of British New Guinea. In Sidney H. Ray (ed.), Linguistics, 413-503. Cambridge: Cambridge University Press.']	aree1239:1;	Are	Papunesia	-9.67147	149.999	aree1239	mwc	PG	aust1307	aree1239
arha1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234	language	phonology_or_text	[""""Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mélanésie. (Travaux et Mémoires de l'Institut d'Ethnologie, XLVI.) Paris: Institut d'Ethnologie. 697pp.""""]	arha1237:1;	Arhâ	Papunesia	-21.2866	165.273	arha1237	aqr	NC	aust1307	arha1237
arho1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234	language	phonology_or_text	[""""Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mélanésie. (Travaux et Mémoires de l'Institut d'Ethnologie, XLVI.) Paris: Institut d'Ethnologie. 697pp.""""]	arho1237:1;	Arhö	Papunesia	-21.3183	165.161	arho1237	aok	NC	aust1307	arho1237
arib1240	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	language	phonology_or_text	['Holzknecht, Susanne. 1989. The Markham languages of Papua New Guinea. (Pacific Linguistics: Series C.) Canberra: Research School of Pacific and Asian Studies, Australian National University. viii+228pp. (Publication of 1988 PhD.)', 'Malcolm Ross. 1988. Proto-Oceanic and the Austronesian languages of western Melanesia. (Pacific Linguistics: Series C, 98.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+487pp. (Publication of PhD, ANU 1987.)']	arib1240:1;	Aribwaung	Papunesia	-6.65252	146.919	arib1240	ylu	PG	aust1307	arib1240
arib1241	extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	language	grammar_sketch	[""""Suzanne Holzknecht. 1997. Aribwatsa: A 'Lost' Language of the Markham Family, Papua New Guinea?. In Stephen A. Wurm (ed.), Materials on languages in danger of disappearing in the Asia-Pacific Region No 1: some endangered Languages of Papua New Guinea: Kaki Ae, Musom, and Aribwatsa, 145-163. Canberra: Research School of Pacific and Asian Studies, Australian National University."""", 'Holzknecht, Susanne. 1989. The Markham languages of Papua New Guinea. (Pacific Linguistics: Series C.) Canberra: Research School of Pacific and Asian Studies, Australian National University. viii+228pp. (Publication of 1988 PhD.)']	arib1241:1;	Aribwatsa	Papunesia	-6.72266	146.991	arib1241	laz	PG	aust1307	arib1241
arif1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235	language	grammar_sketch	['Stanley Oyabua and Alfred Urasabey and Venessa Sogiri. 2015. Tentative Grammar Description for the Miniafia-Oyan [Min] Language spoken in Oro Province. Ms. 61pp.', 'W. M. Strong. 1911. Notes on the languages of the north-eastern and adjoining divisions. Annual Report for the year ending 30th June 1911. 203-217.']	(arif1240:1,mini1252:1)arif1239:1;	Arifama-Miniafia	Papunesia	-9.15565	149.246	arif1239	aai	PG	aust1307	arif1239
arop1242	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/scho1242/siau1243/siss1244/sera1271/siss1245	language	grammar_sketch	['Whitacre, Steve. 1986. Arop/Sissano Grammar Essentials. Ms. 77pp.', 'Whitacre, Steve. 1984. Arop phonemic essentials. Ms. 37pp.', 'Georg Friederici. 1913. Wissenschaftliche Ergebnisse: einer amtlichen Forschungsreise nach dem Bismarck-Archipel im Jahre 1908: III Untersuchungen über eine melanesische Wanderstraße. (Ergänzungsheft der Mitteilungen aus den Deutschen Schutzgebieten, 7.) Berlin: Ernst Siegfried Mittler und Sohn. 182pp.', 'Wilhelm Schmidt. 1900, 1902. Die Sprachlichen Verhältnisse von Deutsch-Neuguinea. Zeitschrift für afrikanische und oceanische Sprachen V, VI. 354-384, 1-99.', 'Christian Schleiermacher. 1898-1899. Aus unserer Mission in Neu-Guinea. Steyler Missionsblätter XXVI. 297-299.']	arop1242:1;	Arop-Sissano	Papunesia	-3.06984	142.12	arop1242	aps	PG	aust1307	arop1242
arop1243	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/kora1297	language	grammar_sketch	['Mary Raymond. 2005. Kurap Sumai and Tool Mai: a comparative study of Arop-Lokep and Karnai, two Austronesian languages of Papua New Guinea. (MA thesis, University of London; 86pp.)', """"Lucille S. D'Jernes. 2002. Arop-Lokep. In John Lynch and Malcolm Ross and Terry Crowley (eds.), The Oceanic Languages, 249-269. Richmond: Curzon."""", 'Otto Dempwolff. 1905. Beiträge zur Kenntnis der Sprachen von Deutsch-Neuguinea. Mittheilungen des Seminars für Orientalische Sprachen VIII. 182-254.']	(arop1244:1,loke1237:1)arop1243:1;	Arop-Lokep	Papunesia	-5.31671	147.103	arop1243	apr	PG	aust1307	arop1243
aros1241	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243	language	grammar_sketch	['Arthur Capell. 1971. Arosi Grammar. (Pacific Linguistics: Series B, 20.) Canberra: Research School of Pacific and Asian Studies, Australian National University. iv+90+8pp.', 'Fox, C. E. 1970. Arosi-English dictionary. (Pacific Linguistics: Series C, 11.) Canberra: Pacific Linguistics. iii+406pp.', 'Sidney H. Ray. 1919/1920. The Polynesian Languages in Melanesia. Anthropos 14/15. 46-96.', 'Robert Codrington. 1885. The Melanesian Languages. Oxford: Clarendon Press. viii+572pp.']	(nucl1473:1,wang1296:1)aros1241:1;	Arosi	Papunesia	-10.2441	161.432	aros1241	aia	SB	aust1307	aros1241
asum1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/temo1244/utup1237/utup1238	language	wordlist_or_less	['Sidney H. Ray. 1912, 1915, 1915, 1916, 1917, 1917, 1917, 1919, 1920, 1921, 1921. Polynesian Linguistics. Journal of the Polynesian Society 21, 24, 24, 25, 26, 26, 26, 28, 29, 30, 30. 164-172, 62-64, 92-97, 44-52, 34-43, 99-105, 170-179, 168-177, 76-86, 28-34, 103-118.']	asum1237:1;	Asumboa	Papunesia	-11.2969	166.499	asum1237	aua	SB	aust1307	asum1237
auhe1237	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	language	wordlist_or_less	['David Lithgow. 1998. Muyuw: Its relationships with its neighbours and the bilingualism of its speakers. In Papers in Austronesian Linguistics 5, 1-34. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'David Lithgow. 1987. Language Change and Relationships in Tubetube and Adjacent Languages. In Donald C. Laycock and Werner Winter (eds.), A World of Language: Papers presented to Professor Wurm, Stephen A. on his 65th Birthday, 393-410. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'Sidney H. Ray. 1938. The Languages of the Eastern and South-Eastern Division of Papua. Journal of the Royal Anthropological Institute of Great Britain and Ireland 68. 153-208.', 'Armstrong, Wallace E. 1923. Report on Anthropology of South-eastern Division (Excluding Woodlark Island), Engineer Group, Bosilai, East Cape, Normanby Island (South Coast), Fergusson Island (Morima). Papua: Annual Report for the Year 1921-22. 26-39.']	auhe1237:1;	'Auhelawa	Papunesia	-10.0959	151.002	auhe1237	kud	PG	aust1307	auhe1237
aulu1238	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315	language	phonology_or_text	['Anonymous. 1953. Auluan syntax. Ms. 19pp.', 'Sidney H. Ray. 1893. Sketch of Aulua Grammar, with Vocabularies of Aulua and Lamangkau, Malekula, New Hebrides. Journal of the Royal Anthropological Institute of Great Britain and Ireland 22. 386-397.']	(boin1237:1,ones1240:1)aulu1238:1;	Aulua	Papunesia	-16.3579	167.697	aulu1238	aul	VU	aust1307	aulu1238
aust1304	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/cent2062/tahi1244	language	wordlist_or_less	['Charpentier, Jean-Michel and Alexandre François. 2015. Atlas Linguistique de Polynésie Française. Berlin, Papeete: Mouton de Gruyter & Université de la Polynésie Française. 2562pp.', 'Aitken, Robert T. 1930. Ethnology of Tubuai. (Bernice P. Bishop Museum Bulletin, 70.) Honolulu: Bishop Museum Press. iv+169pp.']	(raiv1237:1,rima1237:1,ruru1237:1,tubu1240:1)aust1304:1;	Austral	Papunesia	-23.3843	-149.462	aust1304	aut	PF	aust1307	aust1304
avau1237	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/east2763	language	wordlist_or_less	['MacKenzie, Bonnie and Spencer, Juliann and Van Cott, Sara. 2011. A Sociolinguistic Survey of Ambul. (SIL Electronic Survey Reports 2011-050.) Dallas, Texas: SIL International. 90pp.', 'Malcolm Ross. 1988. Proto-Oceanic and the Austronesian languages of western Melanesia. (Pacific Linguistics: Series C, 98.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+487pp. (Publication of PhD, ANU 1987.)', 'Hoopert, Daniel A. and Wakefield, David C. 1980. The languages and communities of south-western New Britain. In Raymond L. Johnston (ed.), Language, communication and development in New Britain, 5-40. Ukarumpa: Summer Institute of Linguistics.']	(gasm1237:1)avau1237:1;	Avau	Papunesia	-6.24342	150.427	avau1237	avb	PG	aust1307	avau1237
avok1244	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239/port1295	language	wordlist_or_less	['Charpentier, Jean-Michel. 1982. Atlas linguistique du Sud-Malakula (Vanuatu): Linguistic atlas of South Malakula (Vanuatu). (Langues et cultures du Pacifique, 2.) Paris: SELAF. 177+1728pp. (2 vols.)', 'Darrell T. Tryon. 1976. New Hebrides Languages: An Internal Classification. (Pacific Linguistics: Series C, 50.) Canberra: Research School of Pacific and Asian Studies, Australian National University. v+545pp.']	avok1244:1;	Avok	Papunesia	-16.536653	167.773866	avok1244	NA	VU	aust1307	avok1244
awad1244	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/astr1247	language	grammar	['D. J. Bennett and R. J. Bennett. 1998. Awad Bing Grammar Essentials. In Papers in Austronesian Linguistics 5, 149-275. Canberra: Pacific Linguistics.', 'Simons, Linda and Simons, Gary F. 1977. A vocabulary of Biliau, an Austronesian language of New Guinea, with notes on its development from Proto Oceanic. (Working Papers for the Language Variation and Limits to Communication Project, 2.) [Ithaca]: Cornell University and Summer Institute of Linguistics. 54pp.', """"Miklucho-Maclay, Nikolaj N. 1951. Papuasskie dialekty berega Maklaya na Novoj Gvinee. In A. N. Anfert'ev (ed.), Stat'i i materialy po antropologii i ètnografii narodov Okeanii, 170-183. Moscow: Nauka.""""]	(bili1252:1,gale1258:1,suit1237:1,yama1259:1,yori1237:1)awad1244:1;	Awad Bing	Papunesia	-5.59896	146.355	awad1244	bcu	PG	aust1307	awad1244
axam1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239/port1295	language	long_grammar	['Rangelov, Tihomir. 2020. A grammar of the Ahamb language (Vanuatu). (Doctoral dissertation, University of Waikato; xxiv+408pp.)', 'Charpentier, Jean-Michel. 1982. Atlas linguistique du Sud-Malakula (Vanuatu): Linguistic atlas of South Malakula (Vanuatu). (Langues et cultures du Pacifique, 2.) Paris: SELAF. 177+1728pp. (2 vols.)', 'Darrell T. Tryon. 1976. New Hebrides Languages: An Internal Classification. (Pacific Linguistics: Series C, 50.) Canberra: Research School of Pacific and Asian Studies, Australian National University. v+545pp.', 'Arthur Capell. 1962. Linguistic Survey of the South-Western Pacific (New and revised edition). (South Pacific Commission Technical Paper, 136.) Noumea: South Pacific Commission. 258pp.']	axam1237:1;	Axamb	Papunesia	-16.4838	167.707	axam1237	ahb	VU	aust1307	axam1237
