Feature_ID	ntips_parsimony_glottolog	zeroes_parsimony_glottolog	ones_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	Proto-language	Prediction	Feature	Source (Latex)	Source	Comment	Language_ID	conflict	glottolog_parsimony_prediction	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	Abbreviation	Question
GB025a	258	191	67	0.25968992248062017	67	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025a	258	191	67	0.25968992248062017	67	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025b	258	38	220	0.14728682170542637	38	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB065a	262	108	154	0.4122137404580153	108	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Absent	1	0	False Negative	GB065a POSSOrder_PSR-PSD	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSR-PSD?
GB065a	262	108	154	0.4122137404580153	108	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065a POSSOrder_PSR-PSD	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSR-PSD?
GB065a	262	108	154	0.4122137404580153	108	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065a POSSOrder_PSR-PSD	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSR-PSD?
GB065a	262	108	154	0.4122137404580153	108	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065a POSSOrder_PSR-PSD	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSR-PSD?
GB065b	262	61	201	0.23282442748091603	61	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB065b POSSOrder_PSD-PSR	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSD-PSR?
GB065b	262	61	201	0.23282442748091603	61	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065b POSSOrder_PSD-PSR	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSD-PSR?
GB065b	262	61	201	0.23282442748091603	61	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065b POSSOrder_PSD-PSR	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSD-PSR?
GB065b	262	61	201	0.23282442748091603	61	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB065b POSSOrder_PSD-PSR	Is the pragmatically unmarked order of adnominal possessor noun and possessed noun PSD-PSR?
GB130a	259	54	205	0.2084942084942085	54	Proto-Central Pacific	0	NA	NA	NA	NA	NA	NA	Half	0.5	0.5	Half	GB130a IntransOrder_SV	Is the pragmatically unmarked order of S and V in intransitive clauses S-V?
GB130a	259	54	205	0.2084942084942085	54	Proto-Polynesian	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB130a IntransOrder_SV	Is the pragmatically unmarked order of S and V in intransitive clauses S-V?
GB130a	259	54	205	0.2084942084942085	54	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB130a IntransOrder_SV	Is the pragmatically unmarked order of S and V in intransitive clauses S-V?
GB130a	259	54	205	0.2084942084942085	54	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB130a IntransOrder_SV	Is the pragmatically unmarked order of S and V in intransitive clauses S-V?
GB130b	259	197	62	0.23938223938223938	62	Proto-Central Pacific	1	NA	NA	NA	NA	NA	NA	Half	0.5	0.5	Half	GB130b IntransOrder_VS	Is the pragmatically unmarked order of S and V in intransitive clauses V-S?
GB130b	259	197	62	0.23938223938223938	62	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB130b IntransOrder_VS	Is the pragmatically unmarked order of S and V in intransitive clauses V-S?
GB130b	259	197	62	0.23938223938223938	62	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB130b IntransOrder_VS	Is the pragmatically unmarked order of S and V in intransitive clauses V-S?
GB130b	259	197	62	0.23938223938223938	62	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB130b IntransOrder_VS	Is the pragmatically unmarked order of S and V in intransitive clauses V-S?
GB193a	252	206	46	0.18253968253968253	46	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB193a ANMOrder_ANM-N	Is the order of the adnominal property word (ANM) and noun ANM-N?
GB193a	252	206	46	0.18253968253968253	46	Proto-Polynesian	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB193a ANMOrder_ANM-N	Is the order of the adnominal property word (ANM) and noun ANM-N?
GB193a	252	206	46	0.18253968253968253	46	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB193a ANMOrder_ANM-N	Is the order of the adnominal property word (ANM) and noun ANM-N?
GB193a	252	206	46	0.18253968253968253	46	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB193a ANMOrder_ANM-N	Is the order of the adnominal property word (ANM) and noun ANM-N?
GB193b	252	14	238	0.05555555555555555	14	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB193b ANMOrder_N-ANM	Is the order of the adnominal property word (ANM) and noun N-ANM?
GB193b	252	14	238	0.05555555555555555	14	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB193b ANMOrder_N-ANM	Is the order of the adnominal property word (ANM) and noun N-ANM?
GB193b	252	14	238	0.05555555555555555	14	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB193b ANMOrder_N-ANM	Is the order of the adnominal property word (ANM) and noun N-ANM?
GB193b	252	14	238	0.05555555555555555	14	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB193b ANMOrder_N-ANM	Is the order of the adnominal property word (ANM) and noun N-ANM?
GB203a	199	135	64	0.32160804020100503	64	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB203a UQOrder_UQ-N	Is the order of the adnominal collective universal quantifier (UQ) and noun UQ-N?
GB203a	199	135	64	0.32160804020100503	64	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB203a UQOrder_UQ-N	Is the order of the adnominal collective universal quantifier (UQ) and noun UQ-N?
GB203a	199	135	64	0.32160804020100503	64	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB203a UQOrder_UQ-N	Is the order of the adnominal collective universal quantifier (UQ) and noun UQ-N?
GB203a	199	135	64	0.32160804020100503	64	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB203a UQOrder_UQ-N	Is the order of the adnominal collective universal quantifier (UQ) and noun UQ-N?
GB203b	199	52	147	0.2613065326633166	52	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB203b UQOrder_N-UQ	Is the order of the adnominal collective universal quantifier (UQ) and noun N-QU?
GB203b	199	52	147	0.2613065326633166	52	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB203b UQOrder_N-UQ	Is the order of the adnominal collective universal quantifier (UQ) and noun N-QU?
GB203b	199	52	147	0.2613065326633166	52	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB203b UQOrder_N-UQ	Is the order of the adnominal collective universal quantifier (UQ) and noun N-QU?
GB203b	199	52	147	0.2613065326633166	52	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB203b UQOrder_N-UQ	Is the order of the adnominal collective universal quantifier (UQ) and noun N-QU?
GB020	254	118	136	0.4645669291338583	118	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB020 ARTDef	Are there definite or specific articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB022 ARTPre	Are there prenominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB023 ARTPost	Are there postnominal articles?
GB026	234	232	2	0.008547008547008548	2	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB027	213	63	150	0.29577464788732394	63	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Half	0.5	0.5	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB028	271	7	264	0.025830258302583026	7	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB030	266	259	7	0.02631578947368421	7	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB031	261	90	171	0.3448275862068966	90	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB035	237	81	156	0.34177215189873417	81	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB036	237	220	17	0.07172995780590717	17	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB038	249	243	6	0.024096385542168676	6	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB039	241	222	19	0.07883817427385892	19	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB041	195	190	5	0.02564102564102564	5	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB042	263	255	8	0.030418250950570342	8	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB047	199	58	141	0.2914572864321608	58	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0	1	True Positive	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
