Feature_ID	ntips_ML_glottolog	zeroes_ML_glottolog	ones_ML_glottolog	min_percent_ML_glottolog	min_ML_glottolog	Proto-language	Prediction	Feature	Source (Latex)	Source	Comment	Language_ID	conflict	glottolog_ML_prediction	glottolog_ML_prediction_0	glottolog_ML_prediction_1	ML result (Glottolog-tree)	Abbreviation	Question
GB024b	253	79	174	0.31225296442687744	79	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.035038479225075414	0.9649615207749246	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB024b	253	79	174	0.31225296442687744	79	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.12117439525131049	0.8788256047486895	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB025a	258	191	67	0.25968992248062017	67	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9978678382541787	0.0021321617458213158	True Negative	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025a	258	191	67	0.25968992248062017	67	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9948555937691438	0.005144406230856169	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025a	258	191	67	0.25968992248062017	67	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9771670986918517	0.022832901308148308	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025a	258	191	67	0.25968992248062017	67	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	1.1284228708728291e-6	0.9999988715771292	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025b	258	38	220	0.14728682170542637	38	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.0021739025959349595	0.997826097404065	True Positive	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.00731858585096885	0.9926814141490311	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.031801708116676056	0.968198291883324	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB025b	258	38	220	0.14728682170542637	38	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Half	0.49410074947705696	0.505899250522943	NA	GB025b DEMOrder_N-Dem	Is the order of the adnominal demonstrative and noun N-Dem?
GB026	234	232	2	0.008547008547008548	2	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9903590340768896	0.00964096592311029	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9903590368789686	0.009640963121031326	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9903485935249424	0.00965140647505746	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB026	234	232	2	0.008547008547008548	2	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9903538208255309	0.009646179174469168	NA	GB026 ADJDiscont	Can adnominal property words occur discontinuously?
GB027	213	63	150	0.29577464788732394	63	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0.10530512647384992	0.8946948735261501	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.6049916780639901	0.3950083219360099	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9768569757685466	0.02314302423145342	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB027	213	63	150	0.29577464788732394	63	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.26346301195910155	0.7365369880408985	NA	GB027 ComitConjDifferent	Are nominal conjunction and comitative expressed by different elements?
GB028	271	7	264	0.025830258302583026	7	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	2.5319741274720815e-12	0.999999999997468	True Positive	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	5.29619381005452e-5	0.9999470380618996	True Positive	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	6.052990848615724e-6	0.9999939470091513	NA	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB028	271	7	264	0.025830258302583026	7	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	4.798232892199532e-5	0.999952017671078	NA	GB028 Clusivity	Is there a distinction between inclusive and exclusive?
GB030	266	259	7	0.02631578947368421	7	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9999974370876673	2.5629123326306354e-6	True Negative	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9995594058768378	4.4059412316221224e-4	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9985838585499645	0.0014161414500355155	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB030	266	259	7	0.02631578947368421	7	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9984670154568349	0.0015329845431651435	NA	GB030 PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?
GB031	261	90	171	0.3448275862068966	90	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	1.1574558461184042e-4	0.9998842544153882	True Positive	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.005861721511823341	0.9941382784881767	True Positive	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	9.506200165123856e-4	0.9990493799834875	NA	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB031	261	90	171	0.3448275862068966	90	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.005341470236729247	0.9946585297632707	NA	GB031 PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?
GB035	237	81	156	0.34177215189873417	81	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.10124423706961488	0.8987557629303851	True Positive	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.055969815057811845	0.9440301849421882	True Positive	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.033140127442433505	0.9668598725575664	NA	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB035	237	81	156	0.34177215189873417	81	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.04870180966006662	0.9512981903399333	NA	GB035 DEMDistContrast	Are there three or more distance contrasts in demonstratives?
GB036	237	220	17	0.07172995780590717	17	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9999471584468551	5.284155314492731e-5	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9949314612045844	0.005068538795415517	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9949425362416799	0.005057463758320002	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB036	237	220	17	0.07172995780590717	17	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9946252906643847	0.005374709335615288	NA	GB036 DEMElevation	Do demonstratives show an elevation distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9908484963044245	0.009151503695575432	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9796205227587548	0.020379477241245128	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8917552839023584	0.10824471609764158	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB037	235	212	23	0.09787234042553192	23	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.639440096724501	0.36055990327549897	NA	GB037 DEMVisNonvis	Do demonstratives show a visible-nonvisible distinction?
GB038	249	243	6	0.024096385542168676	6	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.8368642372197115	0.16313576278028843	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9665064558573061	0.03349354414269395	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9846441475363462	0.015355852463653868	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB038	249	243	6	0.024096385542168676	6	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9873628395742892	0.01263716042571092	NA	GB038 DEMClassifier	Are there demonstrative classifiers?
GB039	241	222	19	0.07883817427385892	19	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9720630430171256	0.027936956982874447	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9676642501048973	0.03233574989510271	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.6632351593634684	0.3367648406365315	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB039	241	222	19	0.07883817427385892	19	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9647603909424509	0.0352396090575491	NA	GB039 NounNUMAllomorph	Is there nonphonological allomorphy of noun number markers?
GB041	195	190	5	0.02564102564102564	5	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9742034437060251	0.025796556293974964	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9742034437060253	0.025796556293974815	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9742034431679509	0.02579655683204915	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB041	195	190	5	0.02564102564102564	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9742034431679508	0.02579655683204915	NA	GB041 NUMSupplNoun	Are there several nouns (more than three) which are suppletive for number?
GB042	263	255	8	0.030418250950570342	8	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9695730078591532	0.03042699214084671	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9695730078591541	0.030426992140845835	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.969572998002688	0.030427001997312013	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB042	263	255	8	0.030418250950570342	8	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9695730029309232	0.03042699706907695	NA	GB042 SingularNoun	Is there productive overt morphological singular marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9693398691480589	0.030660130851941133	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9693398691480627	0.030660130851937237	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.969339847217106	0.03066015278289397	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB043	261	253	8	0.03065134099616858	8	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9693398581824663	0.030660141817533782	NA	GB043 DualBound	Is there productive morphological dual marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9174327861358409	0.08256721386415906	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9695152601459585	0.030484739854041498	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9597300724765183	0.040269927523481644	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB044	262	225	37	0.14122137404580154	37	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9629959307135381	0.03700406928646207	NA	GB044 PluralBound	Is there productive morphological plural marking on nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB046	134	93	41	0.30597014925373134	41	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB046 AssocPlural	Is there an associative plural marker for nouns?
GB047	199	58	141	0.2914572864321608	58	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.21190399887810604	0.7880960011218939	True Positive	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.24888084944072678	0.7511191505592734	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.11957210047270463	0.8804278995272954	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB047	199	58	141	0.2914572864321608	58	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.04977811315111557	0.9502218868488844	NA	GB047 NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.796367203115694	0.20363279688430602	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Half	0.5787933580628316	0.42120664193716845	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.6639748892052836	0.3360251107947164	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB048	186	117	69	0.3709677419354839	69	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9760202110059636	0.02397978899403639	NA	GB048 NMZAgent	Is there a productive morphological pattern for deriving an agent noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.3219360776517585	0.6780639223482414	True Positive	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.055505833648218865	0.9444941663517812	NA	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.04709632955437657	0.9529036704456234	NA	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
GB049	190	77	113	0.4052631578947368	77	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8569701496441812	0.1430298503558189	NA	GB049 NMZObject	Is there a productive morphological pattern for deriving an object noun from a verb?
GB051	251	247	4	0.01593625498007968	4	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.99999710597622	2.894023779900305e-6	True Negative	GB051 GenderSex	Is there a gender/noun class system where sex is a factor in class assignment?
GB051	251	247	4	0.01593625498007968	4	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9997815542623478	2.184457376522691e-4	NA	GB051 GenderSex	Is there a gender/noun class system where sex is a factor in class assignment?
GB051	251	247	4	0.01593625498007968	4	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9991524724481986	8.475275518013635e-4	NA	GB051 GenderSex	Is there a gender/noun class system where sex is a factor in class assignment?
GB051	251	247	4	0.01593625498007968	4	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9992436474331097	7.563525668903264e-4	NA	GB051 GenderSex	Is there a gender/noun class system where sex is a factor in class assignment?
GB052	250	245	5	0.02	5	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9991876058331441	8.123941668557916e-4	True Negative	GB052 GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?
GB052	250	245	5	0.02	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9994899279991725	5.100720008275698e-4	NA	GB052 GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?
GB052	250	245	5	0.02	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9983703480800383	0.0016296519199616695	NA	GB052 GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?
GB052	250	245	5	0.02	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.998551153155126	0.0014488468448740275	NA	GB052 GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?
GB053	245	229	16	0.0653061224489796	16	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9346938978590845	0.06530610214091545	True Negative	GB053 GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?
GB053	245	229	16	0.0653061224489796	16	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9346939658736785	0.06530603412632148	NA	GB053 GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?
GB053	245	229	16	0.0653061224489796	16	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.934693829846807	0.06530617015319282	NA	GB053 GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?
GB053	245	229	16	0.0653061224489796	16	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9346938978604528	0.0653061021395471	NA	GB053 GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?
GB054	245	240	5	0.02040816326530612	5	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9996678960344126	3.321039655873051e-4	True Negative	GB054 GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?
GB054	245	240	5	0.02040816326530612	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9996345289697454	3.654710302547105e-4	NA	GB054 GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?
GB054	245	240	5	0.02040816326530612	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.998641362389622	0.0013586376103780367	NA	GB054 GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?
GB054	245	240	5	0.02040816326530612	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9987878543568451	0.0012121456431549197	NA	GB054 GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?
GB057	244	181	63	0.2581967213114754	63	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9999864765546486	1.3523445351446257e-5	NA	GB057 NUMClassif	Are there numeral classifiers?
GB057	244	181	63	0.2581967213114754	63	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9810068125857838	0.01899318741421622	NA	GB057 NUMClassif	Are there numeral classifiers?
